date,year,close,ret_1d,vol20,dd120,sma200_dist,f1_breadth,f2_gdr_basis,f3_rate_mom,f4_fx_vel,f4_fx_acc,f5_hhi,f6_herding,f7_panic,f8_illiq,f9_ratio,f10_spread,target_mae_60,target_mdd_60,state,in_risk_set,b1_vol,b2_dd,b3_sma,b4_composite
2016-07-10,2016,7517.43,0.04659,0.3156,-0.0468,0.0759,0.2516,-0.3615,1.2,0.0013,-0.1331,0.1503,-0.0015,0.1456,0.00504,0.023,0.0,0.0107,0.0677,0,1,1,0,0,0
2016-07-11,2016,7506.18,-0.0015,0.3132,-0.0483,0.0741,0.2711,-0.3555,1.3,-0.0002,-0.1345,0.132,-0.0089,0.147,0.00522,-0.0315,0.0,0.0092,0.0677,0,1,1,0,0,0
2016-07-12,2016,7457.5,-0.00649,0.3118,-0.0544,0.0669,0.2614,-0.3522,1.438,0.0007,-0.1339,0.1233,-0.0391,0.1535,0.00524,-0.0425,0.0,0.0028,0.0677,0,1,1,0,0,0
2016-07-13,2016,7559.87,0.01373,0.3164,-0.0415,0.0813,0.3117,-0.35,1.192,-0.0,-0.135,0.125,-0.0351,0.1505,0.0053,-0.0417,0.0,0.0163,0.0677,0,1,1,0,0,0
2016-07-14,2016,7583.06,0.00307,0.3133,-0.0385,0.0844,0.319,-0.3594,0.907,0.0001,-0.1533,0.1703,-0.0329,0.1368,0.00515,0.0114,0.0,0.0193,0.0677,0,1,1,0,0,0
2016-07-17,2016,7599.64,0.00219,0.3134,-0.0364,0.0864,0.3151,-0.3588,0.987,-0.0015,-0.1356,0.2589,-0.0244,0.1361,0.0052,0.0402,0.0,0.0214,0.0677,0,1,1,0,0,0
2016-07-18,2016,7628.64,0.00382,0.3116,-0.0327,0.0903,0.3057,-0.3645,1.284,0.0001,-0.1345,0.2985,-0.0338,0.1263,0.00508,0.0458,0.0,0.0251,0.0677,0,1,1,0,0,0
2016-07-19,2016,7596.96,-0.00415,0.3027,-0.0368,0.0856,0.3478,-0.3695,0.353,0.0007,-0.1331,0.315,-0.0344,0.11,0.00491,0.0135,0.0,0.0211,0.0677,0,1,0,0,0,0
2016-07-20,2016,7503.36,-0.01232,0.3064,-0.0486,0.0722,0.2956,-0.3738,1.623,-0.0,-0.1346,0.3331,-0.0327,0.1223,0.00502,0.0446,0.0,0.0089,0.0677,0,1,0,0,0,0
2016-07-21,2016,7436.87,-0.00886,0.3054,-0.0571,0.0626,0.3469,-0.3836,1.622,0.0002,-0.1344,0.3535,-0.0374,0.12,0.00499,0.0917,0.0,-0.0,0.0677,0,1,0,0,0,0
2016-07-24,2016,7463.72,0.00361,0.2974,-0.0536,0.0663,0.2963,-0.3938,1.623,0.0004,-0.1338,0.4008,-0.0376,0.1017,0.00462,0.1215,0.0,-0.0,0.0677,0,1,0,0,0,0
